mul(c, 0.5)	protectedDiv(add(mul(c, 4), mul(b, b)), protectedDiv(sub(d, d), sub(c, b)))	add(protectedDiv(add(2, b), sub(b, a)), add(sub(2, c), add(4, b)))	protectedDiv(mul(mul(a, 2), protectedDiv(c, a)), sub(sub(d, 0.5), mul(0.5, 3)))	protectedDiv(mul(2, c), protectedDiv(a, d))	sub(protectedDiv(sub(a, 4), add(0.5, b)), sub(sub(a, b), mul(b, c)))	add(add(mul(c, 0.5), protectedDiv(2, d)), protectedDiv(add(b, 3), mul(c, 0.5)))	protectedDiv(add(mul(a, c), protectedDiv(0.5, a)), protectedDiv(mul(c, a), mul(a, 0.5)))	protectedDiv(4, 0.5)	add(mul(protectedDiv(a, 0.5), protectedDiv(d, d)), mul(mul(d, b), protectedDiv(a, d)))	protectedDiv(mul(3, a), protectedDiv(b, a))	add(sub(c, b), sub(d, 0.5))	protectedDiv(sub(sub(0.5, c), mul(c, 0.5)), mul(add(3, d), add(a, a)))	sub(mul(add(c, d), protectedDiv(4, d)), add(protectedDiv(a, b), protectedDiv(b, d)))	add(add(mul(c, a), protectedDiv(c, a)), add(protectedDiv(b, 0.5), add(b, d)))	add(protectedDiv(d, c), add(0.5, 0.5))	sub(b, b)	sub(add(add(2, 0.5), mul(a, 0.5)), mul(add(c, 0.5), protectedDiv(4, a)))	sub(mul(c, d), protectedDiv(d, 3))	sub(protectedDiv(0.5, c), sub(a, a))
add(3, mul(protectedDiv(3, 3), protectedDiv(add(c, a), protectedDiv(3, 4))))	add(4, protectedDiv(3, 4))	add(4, mul(protectedDiv(3, 3), protectedDiv(add(c, a), protectedDiv(3, a))))	add(4, mul(protectedDiv(3, 3), protectedDiv(add(c, 4), protectedDiv(3, 4))))	add(4, mul(protectedDiv(3, 4), protectedDiv(add(c, a), protectedDiv(3, 4))))	add(4, mul(protectedDiv(3, 3), protectedDiv(add(c, a), protectedDiv(3, 3))))	add(4, mul(protectedDiv(3, 3), protectedDiv(add(c, a), 4)))	add(4, mul(protectedDiv(protectedDiv(d, 0.5), 3), protectedDiv(sub(0.5, b), protectedDiv(3, 4))))	add(4, mul(protectedDiv(3, 3), protectedDiv(add(c, a), protectedDiv(3, 4))))	add(4, mul(protectedDiv(3, 3), protectedDiv(add(c, a), protectedDiv(3, 4))))	add(4, mul(protectedDiv(3, 3), protectedDiv(add(c, a), protectedDiv(3, 4))))	add(4, mul(protectedDiv(3, 3), protectedDiv(add(c, a), d)))	add(4, mul(protectedDiv(3, 3), protectedDiv(add(c, a), protectedDiv(3, 4))))	add(4, mul(protectedDiv(3, 3), protectedDiv(add(c, a), d)))	add(protectedDiv(add(c, a), protectedDiv(3, 4)), mul(protectedDiv(protectedDiv(d, 0.5), 3), protectedDiv(add(c, a), protectedDiv(3, 4))))	add(a, mul(add(a, 4), 4))	add(4, mul(protectedDiv(3, 3), protectedDiv(add(c, a), d)))	add(4, mul(protectedDiv(3, 3), protectedDiv(add(c, protectedDiv(b, protectedDiv(3, 4))), protectedDiv(3, 4))))	add(4, mul(protectedDiv(3, 3), protectedDiv(d, a)))	add(4, mul(protectedDiv(3, 3), protectedDiv(add(c, a), protectedDiv(3, 4))))
add(4, mul(protectedDiv(3, 3), protectedDiv(add(c, a), protectedDiv(3, 4))))	add(4, mul(protectedDiv(3, 4), protectedDiv(add(c, a), protectedDiv(3, 4))))	add(4, mul(protectedDiv(protectedDiv(d, 0.5), 3), protectedDiv(sub(0.5, b), protectedDiv(3, 4))))	add(protectedDiv(add(c, a), protectedDiv(3, 4)), mul(protectedDiv(protectedDiv(d, 0.5), 3), protectedDiv(add(c, a), protectedDiv(3, 4))))	add(4, mul(protectedDiv(3, 3), protectedDiv(add(c, a), protectedDiv(3, 4))))	add(4, mul(0.5, protectedDiv(add(c, a), protectedDiv(3, 4))))	add(3, mul(protectedDiv(3, 3), protectedDiv(protectedDiv(c, c), protectedDiv(3, 4))))	add(4, mul(protectedDiv(protectedDiv(d, 0.5), 4), protectedDiv(sub(0.5, b), protectedDiv(3, 4))))	add(4, mul(protectedDiv(3, 3), protectedDiv(add(c, a), protectedDiv(3, 3))))	add(a, mul(add(a, 4), 4))	add(4, mul(protectedDiv(3, 3), protectedDiv(add(c, a), protectedDiv(3, 4))))	add(4, add(sub(a, c), sub(d, d)))	add(4, mul(protectedDiv(3, 3), protectedDiv(add(c, 4), d)))	add(a, mul(protectedDiv(3, 3), protectedDiv(add(c, a), protectedDiv(3, 4))))	add(4, mul(protectedDiv(3, 3), protectedDiv(add(c, a), 3)))	add(4, mul(protectedDiv(3, d), protectedDiv(add(c, a), protectedDiv(3, 4))))	add(4, mul(protectedDiv(3, 3), protectedDiv(add(c, a), protectedDiv(3, 4))))	add(4, mul(protectedDiv(3, 3), protectedDiv(add(c, a), protectedDiv(3, 4))))	add(4, mul(protectedDiv(3, 3), protectedDiv(add(c, a), d)))	add(4, mul(protectedDiv(3, 3), protectedDiv(add(c, a), protectedDiv(3, 4))))
add(4, add(sub(a, c), sub(d, d)))	add(4, mul(protectedDiv(3, d), protectedDiv(add(c, a), protectedDiv(3, 4))))	add(4, mul(protectedDiv(3, 3), protectedDiv(add(c, a), protectedDiv(3, 4))))	add(a, mul(protectedDiv(3, 3), protectedDiv(add(c, a), protectedDiv(3, 4))))	add(4, mul(protectedDiv(3, d), protectedDiv(add(c, a), protectedDiv(3, 4))))	add(4, mul(protectedDiv(3, 3), protectedDiv(add(c, a), protectedDiv(3, 4))))	add(4, mul(protectedDiv(3, d), protectedDiv(add(c, a), protectedDiv(3, 4))))	add(4, mul(protectedDiv(protectedDiv(d, 0.5), 3), protectedDiv(sub(0.5, b), protectedDiv(3, 4))))	add(4, mul(protectedDiv(3, 3), protectedDiv(add(c, a), protectedDiv(3, 4))))	add(4, mul(protectedDiv(3, 3), protectedDiv(add(c, a), protectedDiv(3, 4))))	add(4, mul(protectedDiv(3, 3), protectedDiv(4, protectedDiv(3, 4))))	add(4, mul(protectedDiv(protectedDiv(d, 0.5), 3), protectedDiv(sub(0.5, b), protectedDiv(3, add(c, a)))))	add(4, sub(sub(4, c), protectedDiv(a, 0.5)))	add(4, mul(protectedDiv(protectedDiv(d, 0.5), 3), protectedDiv(sub(protectedDiv(3, d), d), protectedDiv(3, 4))))	add(4, mul(protectedDiv(3, 3), protectedDiv(add(c, a), protectedDiv(3, 4))))	add(4, mul(protectedDiv(3, 3), protectedDiv(add(c, a), protectedDiv(3, 4))))	add(4, c)	add(4, mul(protectedDiv(3, 3), protectedDiv(add(mul(protectedDiv(3, d), protectedDiv(add(c, a), protectedDiv(3, 4))), a), protectedDiv(3, 4))))	add(4, mul(protectedDiv(3, sub(a, a)), protectedDiv(add(c, a), protectedDiv(3, 4))))	add(4, mul(protectedDiv(3, 3), protectedDiv(add(c, a), protectedDiv(3, 4))))
add(4, mul(protectedDiv(3, 3), protectedDiv(add(c, a), protectedDiv(3, 4))))	add(a, mul(protectedDiv(3, 3), protectedDiv(add(c, a), protectedDiv(3, a))))	add(4, mul(protectedDiv(3, sub(a, a)), protectedDiv(add(c, a), protectedDiv(3, 4))))	add(4, mul(protectedDiv(3, d), protectedDiv(add(c, a), protectedDiv(3, 4))))	add(4, mul(protectedDiv(3, 3), protectedDiv(add(c, a), protectedDiv(3, protectedDiv(3, d)))))	add(4, mul(4, protectedDiv(add(c, a), protectedDiv(3, 4))))	add(4, mul(protectedDiv(3, d), protectedDiv(protectedDiv(3, 4), protectedDiv(3, 4))))	add(4, mul(protectedDiv(3, d), protectedDiv(add(c, a), add(c, a))))	add(a, mul(protectedDiv(3, 3), protectedDiv(add(c, a), protectedDiv(3, 4))))	add(4, mul(add(3, b), protectedDiv(add(c, a), protectedDiv(3, 4))))	add(4, mul(protectedDiv(3, d), protectedDiv(add(c, a), mul(protectedDiv(3, 3), protectedDiv(add(c, a), protectedDiv(3, 4))))))	add(4, protectedDiv(3, 4))	add(4, mul(protectedDiv(3, d), protectedDiv(add(mul(protectedDiv(3, 3), protectedDiv(add(c, a), protectedDiv(3, 4))), a), protectedDiv(3, 4))))	add(4, a)	add(4, mul(protectedDiv(mul(protectedDiv(3, 3), protectedDiv(add(c, a), protectedDiv(3, 4))), sub(a, a)), protectedDiv(add(c, a), protectedDiv(3, 4))))	add(mul(d, 0.5), 3)	add(4, mul(protectedDiv(3, d), protectedDiv(add(c, a), protectedDiv(3, protectedDiv(3, d)))))	add(4, mul(4, protectedDiv(add(c, a), protectedDiv(3, 4))))	add(4, mul(protectedDiv(3, d), protectedDiv(add(c, a), protectedDiv(3, 4))))	add(4, mul(protectedDiv(3, d), protectedDiv(add(c, a), protectedDiv(3, 4))))
add(4, mul(protectedDiv(3, d), protectedDiv(add(c, a), protectedDiv(3, 4))))	add(4, mul(protectedDiv(3, d), protectedDiv(add(c, a), mul(protectedDiv(3, 3), protectedDiv(add(c, a), protectedDiv(3, 4))))))	add(4, mul(protectedDiv(3, d), protectedDiv(add(c, a), protectedDiv(3, 4))))	add(4, mul(protectedDiv(3, d), protectedDiv(protectedDiv(3, 4), protectedDiv(3, 4))))	add(4, mul(protectedDiv(3, d), protectedDiv(add(4, a), protectedDiv(3, 4))))	add(c, mul(protectedDiv(mul(protectedDiv(3, 3), protectedDiv(add(c, a), protectedDiv(3, 4))), sub(a, a)), protectedDiv(add(c, a), protectedDiv(3, 4))))	add(4, mul(protectedDiv(3, d), protectedDiv(add(c, a), add(c, a))))	add(4, mul(protectedDiv(3, d), protectedDiv(add(c, a), add(c, a))))	add(4, mul(protectedDiv(3, d), mul(protectedDiv(3, d), protectedDiv(add(c, a), protectedDiv(3, 4)))))	add(4, sub(b, 0.5))	add(4, mul(protectedDiv(3, c), protectedDiv(add(c, a), protectedDiv(3, 4))))	add(4, mul(protectedDiv(3, d), protectedDiv(add(sub(a, a), a), protectedDiv(3, 4))))	add(4, mul(protectedDiv(3, d), protectedDiv(add(mul(protectedDiv(3, 3), protectedDiv(add(c, a), protectedDiv(3, 4))), a), protectedDiv(3, 4))))	add(4, mul(protectedDiv(3, d), protectedDiv(add(c, a), add(c, a))))	add(mul(sub(sub(2, a), protectedDiv(0.5, d)), protectedDiv(add(c, a), protectedDiv(3, 4))), mul(protectedDiv(3, d), protectedDiv(protectedDiv(3, 4), protectedDiv(3, 4))))	add(4, 4)	add(4, 4)	add(4, mul(protectedDiv(3, d), protectedDiv(protectedDiv(3, 4), protectedDiv(3, mul(protectedDiv(3, d), protectedDiv(protectedDiv(3, protectedDiv(4, 0.5)), protectedDiv(3, 4)))))))	add(4, mul(protectedDiv(3, d), protectedDiv(add(c, a), add(c, a))))	add(4, mul(protectedDiv(3, d), protectedDiv(add(c, a), protectedDiv(3, 4))))
add(4, mul(protectedDiv(3, d), protectedDiv(add(c, a), add(c, a))))	add(4, mul(protectedDiv(3, d), protectedDiv(add(c, a), add(c, a))))	add(4, 4)	add(4, mul(protectedDiv(3, d), protectedDiv(add(c, a), protectedDiv(3, 4))))	add(4, mul(protectedDiv(3, d), protectedDiv(add(protectedDiv(add(c, a), protectedDiv(3, 4)), a), protectedDiv(3, 4))))	add(4, mul(protectedDiv(3, d), mul(protectedDiv(3, d), c)))	add(4, mul(protectedDiv(3, d), protectedDiv(protectedDiv(3, 4), protectedDiv(3, 4))))	add(4, 4)	add(4, mul(protectedDiv(3, d), protectedDiv(add(c, a), protectedDiv(3, 4))))	add(4, mul(protectedDiv(3, d), protectedDiv(add(c, a), protectedDiv(3, 4))))	add(4, 4)	add(4, mul(protectedDiv(3, d), protectedDiv(add(c, a), protectedDiv(d, 4))))	add(4, mul(protectedDiv(3, d), mul(protectedDiv(3, d), protectedDiv(add(c, a), protectedDiv(3, 4)))))	add(4, c)	add(4, sub(b, 0.5))	add(4, mul(protectedDiv(3, d), protectedDiv(add(c, a), mul(sub(c, c), mul(a, d)))))	add(4, 3)	add(4, mul(protectedDiv(3, d), protectedDiv(protectedDiv(4, 4), protectedDiv(3, 4))))	add(4, mul(protectedDiv(3, d), protectedDiv(protectedDiv(3, 4), protectedDiv(protectedDiv(add(c, a), protectedDiv(3, 4)), 4))))	add(4, mul(protectedDiv(3, d), 3))
add(4, c)	add(4, mul(sub(a, 3), mul(2, a)))	add(4, mul(protectedDiv(3, d), add(mul(2, 0.5), protectedDiv(b, c))))	add(4, 3)	add(4, mul(protectedDiv(3, d), c))	add(4, mul(protectedDiv(3, d), protectedDiv(add(c, a), protectedDiv(3, 4))))	add(4, mul(protectedDiv(3, d), protectedDiv(add(c, a), add(c, a))))	add(4, mul(protectedDiv(3, d), mul(protectedDiv(3, d), protectedDiv(add(c, a), protectedDiv(3, 4)))))	add(4, mul(protectedDiv(3, d), 3))	add(4, mul(protectedDiv(3, d), protectedDiv(add(c, a), protectedDiv(3, 4))))	add(4, 4)	add(4, 4)	add(4, 4)	add(4, add(mul(d, 2), add(b, b)))	add(4, mul(protectedDiv(3, d), mul(protectedDiv(3, d), c)))	add(4, sub(c, c))	add(4, mul(protectedDiv(3, d), protectedDiv(add(c, a), protectedDiv(3, 4))))	add(4, mul(protectedDiv(3, d), protectedDiv(add(c, a), protectedDiv(3, 4))))	add(4, sub(b, 0.5))	add(4, mul(protectedDiv(3, d), protectedDiv(add(c, a), protectedDiv(3, 4))))
add(4, mul(protectedDiv(3, d), protectedDiv(add(c, 3), protectedDiv(3, 4))))	add(4, mul(protectedDiv(a, d), protectedDiv(add(c, a), protectedDiv(3, 4))))	add(4, add(c, a))	add(4, mul(protectedDiv(3, d), protectedDiv(mul(protectedDiv(3, d), protectedDiv(add(c, a), protectedDiv(3, 4))), protectedDiv(3, 4))))	add(4, protectedDiv(3, d))	add(4, mul(4, protectedDiv(add(c, a), mul(sub(2, c), sub(d, a)))))	add(4, sub(b, 0.5))	add(4, mul(protectedDiv(3, d), protectedDiv(add(c, a), protectedDiv(3, 4))))	add(4, mul(protectedDiv(3, d), protectedDiv(add(c, a), protectedDiv(4, 4))))	add(4, mul(protectedDiv(3, d), protectedDiv(add(c, a), protectedDiv(3, 3))))	add(4, mul(protectedDiv(3, d), protectedDiv(add(c, a), protectedDiv(3, 4))))	add(4, mul(protectedDiv(3, d), protectedDiv(add(c, a), protectedDiv(3, 4))))	add(4, mul(protectedDiv(3, mul(protectedDiv(3, d), protectedDiv(add(c, a), add(c, a)))), c))	add(4, d)	add(4, mul(protectedDiv(protectedDiv(3, d), d), protectedDiv(add(c, a), protectedDiv(3, 4))))	add(4, mul(3, protectedDiv(add(c, a), protectedDiv(3, 4))))	add(4, 4)	add(4, mul(protectedDiv(3, d), protectedDiv(add(c, a), protectedDiv(3, 4))))	add(4, mul(protectedDiv(c, d), protectedDiv(add(c, a), protectedDiv(3, 4))))	add(4, mul(protectedDiv(3, d), protectedDiv(add(c, a), protectedDiv(3, 4))))
add(4, mul(protectedDiv(3, d), protectedDiv(add(c, a), protectedDiv(3, 4))))	add(4, mul(protectedDiv(3, d), protectedDiv(add(c, a), protectedDiv(3, 4))))	add(4, add(c, a))	add(4, mul(protectedDiv(3, d), protectedDiv(add(c, a), protectedDiv(3, 4))))	2	add(4, mul(protectedDiv(protectedDiv(a, b), d), protectedDiv(3, protectedDiv(3, 4))))	add(d, mul(protectedDiv(3, d), protectedDiv(add(c, a), protectedDiv(3, 4))))	add(4, mul(protectedDiv(mul(0.5, b), 4), protectedDiv(add(c, a), protectedDiv(3, 4))))	add(4, mul(protectedDiv(3, d), protectedDiv(add(c, a), mul(b, a))))	add(4, mul(protectedDiv(3, 3), protectedDiv(add(c, a), protectedDiv(3, 4))))	add(4, mul(protectedDiv(3, d), protectedDiv(protectedDiv(3, d), protectedDiv(3, 4))))	add(4, mul(add(c, a), protectedDiv(add(c, a), protectedDiv(3, 4))))	add(4, mul(c, protectedDiv(add(c, a), protectedDiv(3, 4))))	add(4, mul(3, protectedDiv(add(protectedDiv(3, d), a), protectedDiv(3, 4))))	add(4, mul(protectedDiv(3, d), protectedDiv(add(c, a), protectedDiv(3, 4))))	add(4, mul(protectedDiv(3, d), protectedDiv(add(c, a), protectedDiv(3, 4))))	add(4, mul(protectedDiv(add(c, a), protectedDiv(4, 4)), protectedDiv(add(c, sub(protectedDiv(d, c), add(b, 0.5))), protectedDiv(3, 4))))	add(4, mul(protectedDiv(3, d), protectedDiv(3, d)))	add(4, mul(protectedDiv(3, d), protectedDiv(add(c, a), a)))	add(4, mul(protectedDiv(3, d), protectedDiv(add(c, protectedDiv(3, 4)), protectedDiv(4, 4))))
add(4, mul(protectedDiv(3, d), protectedDiv(mul(protectedDiv(3, d), protectedDiv(add(c, a), a)), protectedDiv(3, 4))))	add(4, add(c, a))	add(4, mul(protectedDiv(3, d), protectedDiv(add(c, a), protectedDiv(3, 4))))	add(4, mul(protectedDiv(3, d), protectedDiv(add(c, a), protectedDiv(3, 4))))	add(4, mul(add(c, a), protectedDiv(add(c, a), protectedDiv(3, 4))))	b	add(4, mul(protectedDiv(3, d), protectedDiv(add(c, a), protectedDiv(3, protectedDiv(add(a, d), mul(3, 0.5))))))	add(4, mul(c, protectedDiv(add(c, a), protectedDiv(3, 4))))	add(a, mul(add(d, c), protectedDiv(add(c, a), protectedDiv(3, 4))))	add(4, mul(protectedDiv(3, d), protectedDiv(add(c, a), 4)))	add(4, add(c, a))	add(4, mul(protectedDiv(mul(0.5, protectedDiv(protectedDiv(3, a), protectedDiv(0.5, c))), 4), protectedDiv(add(c, a), protectedDiv(3, 4))))	add(4, mul(protectedDiv(3, d), protectedDiv(add(c, a), protectedDiv(4, 4))))	add(3, mul(protectedDiv(mul(0.5, b), 4), protectedDiv(add(c, a), protectedDiv(3, 4))))	add(4, mul(protectedDiv(3, d), protectedDiv(add(c, a), protectedDiv(3, add(c, a)))))	add(4, mul(protectedDiv(3, 0.5), protectedDiv(4, protectedDiv(3, 4))))	add(4, mul(protectedDiv(3, d), protectedDiv(add(c, a), c)))	add(4, mul(protectedDiv(3, d), protectedDiv(add(protectedDiv(3, 4), a), protectedDiv(3, 4))))	add(4, mul(protectedDiv(mul(0.5, b), 4), protectedDiv(add(c, a), protectedDiv(3, 4))))	add(4, mul(protectedDiv(3, d), protectedDiv(add(c, a), a)))
add(4, mul(protectedDiv(3, d), protectedDiv(add(c, a), 4)))	add(4, mul(protectedDiv(d, 0.5), add(a, b)))	add(4, mul(protectedDiv(3, d), protectedDiv(add(c, a), protectedDiv(4, 4))))	add(4, mul(protectedDiv(3, d), protectedDiv(add(c, a), protectedDiv(4, 4))))	add(4, mul(protectedDiv(3, d), b))	add(4, mul(protectedDiv(3, d), protectedDiv(add(c, a), protectedDiv(protectedDiv(3, 4), 4))))	add(4, mul(protectedDiv(3, d), protectedDiv(add(c, a), protectedDiv(add(c, a), a))))	add(4, mul(protectedDiv(3, d), protectedDiv(4, 4)))	add(4, mul(protectedDiv(3, d), protectedDiv(add(c, a), protectedDiv(3, 4))))	add(4, mul(protectedDiv(3, d), protectedDiv(add(c, a), a)))	add(4, mul(protectedDiv(3, d), protectedDiv(add(protectedDiv(3, 4), a), protectedDiv(3, 4))))	add(4, mul(protectedDiv(3, d), protectedDiv(add(c, a), protectedDiv(4, 4))))	add(4, mul(protectedDiv(3, d), protectedDiv(add(c, protectedDiv(3, d)), protectedDiv(3, 4))))	add(4, mul(a, protectedDiv(add(c, a), a)))	add(4, mul(protectedDiv(3, d), protectedDiv(add(c, a), 4)))	add(4, mul(protectedDiv(3, d), protectedDiv(add(protectedDiv(3, 4), a), protectedDiv(3, 4))))	add(4, mul(protectedDiv(3, d), protectedDiv(mul(protectedDiv(mul(sub(0.5, b), protectedDiv(0.5, b)), d), protectedDiv(add(c, a), a)), protectedDiv(3, d))))	add(4, mul(protectedDiv(3, 4), protectedDiv(add(c, a), protectedDiv(4, 4))))	add(protectedDiv(3, 0.5), mul(protectedDiv(mul(0.5, protectedDiv(protectedDiv(3, a), protectedDiv(0.5, c))), 4), protectedDiv(add(c, a), protectedDiv(3, 4))))	add(4, mul(4, protectedDiv(4, protectedDiv(3, 4))))
add(4, mul(protectedDiv(3, d), protectedDiv(add(c, a), protectedDiv(3, 4))))	add(protectedDiv(3, 0.5), mul(protectedDiv(mul(0.5, protectedDiv(protectedDiv(3, a), protectedDiv(0.5, c))), 4), protectedDiv(add(c, a), protectedDiv(3, 4))))	add(4, mul(protectedDiv(3, d), protectedDiv(mul(protectedDiv(mul(sub(0.5, b), protectedDiv(0.5, b)), d), protectedDiv(add(c, a), 4)), protectedDiv(3, d))))	add(a, mul(protectedDiv(3, d), add(protectedDiv(3, c), mul(c, 4))))	add(4, mul(protectedDiv(3, d), protectedDiv(mul(protectedDiv(mul(sub(0.5, b), protectedDiv(0.5, b)), d), protectedDiv(add(c, a), a)), protectedDiv(3, d))))	add(4, mul(protectedDiv(3, d), protectedDiv(add(protectedDiv(3, 4), a), protectedDiv(3, 4))))	add(4, 4)	add(4, mul(protectedDiv(3, d), protectedDiv(add(c, a), protectedDiv(4, mul(protectedDiv(3, d), b)))))	add(4, mul(protectedDiv(c, d), protectedDiv(add(c, a), a)))	add(4, mul(protectedDiv(3, d), mul(sub(0.5, d), add(2, d))))	add(4, mul(sub(0.5, b), protectedDiv(0.5, b)))	add(4, mul(protectedDiv(3, d), protectedDiv(mul(protectedDiv(mul(protectedDiv(3, d), protectedDiv(add(c, a), protectedDiv(4, 4))), d), protectedDiv(add(c, a), a)), protectedDiv(3, d))))	add(4, mul(protectedDiv(3, d), 0.5))	add(4, mul(protectedDiv(3, protectedDiv(add(c, a), protectedDiv(4, 4))), protectedDiv(add(c, protectedDiv(3, d)), protectedDiv(3, 4))))	add(4, mul(protectedDiv(3, d), protectedDiv(add(c, protectedDiv(3, d)), protectedDiv(3, 4))))	add(protectedDiv(3, 0.5), mul(protectedDiv(mul(0.5, protectedDiv(protectedDiv(3, a), protectedDiv(0.5, c))), 4), protectedDiv(add(c, a), protectedDiv(3, 4))))	add(4, mul(protectedDiv(3, d), protectedDiv(add(c, a), 4)))	add(4, mul(protectedDiv(3, d), protectedDiv(add(c, mul(mul(0.5, d), protectedDiv(b, c))), protectedDiv(4, 4))))	add(4, mul(protectedDiv(3, d), protectedDiv(4, 4)))	add(4, mul(protectedDiv(3, d), protectedDiv(add(c, a), protectedDiv(4, 4))))
add(protectedDiv(3, 0.5), mul(protectedDiv(mul(0.5, protectedDiv(protectedDiv(3, a), protectedDiv(0.5, c))), 4), protectedDiv(add(c, a), protectedDiv(3, 4))))	add(protectedDiv(3, 0.5), mul(protectedDiv(mul(0.5, protectedDiv(protectedDiv(3, a), protectedDiv(0.5, c))), 4), protectedDiv(add(c, a), protectedDiv(3, 4))))	add(protectedDiv(c, 0.5), mul(protectedDiv(mul(0.5, protectedDiv(protectedDiv(3, a), protectedDiv(0.5, c))), 4), protectedDiv(add(c, a), protectedDiv(3, 4))))	add(4, mul(protectedDiv(3, d), protectedDiv(add(3, a), protectedDiv(4, 4))))	add(4, mul(protectedDiv(3, d), protectedDiv(add(c, protectedDiv(3, d)), protectedDiv(3, 4))))	add(4, mul(add(protectedDiv(2, c), mul(b, a)), protectedDiv(add(c, a), protectedDiv(4, 4))))	mul(a, c)	add(4, 4)	add(protectedDiv(4, 0.5), mul(protectedDiv(mul(0.5, protectedDiv(protectedDiv(3, a), protectedDiv(0.5, c))), 4), protectedDiv(add(c, a), protectedDiv(3, 4))))	add(4, mul(protectedDiv(3, d), protectedDiv(add(c, a), protectedDiv(3, 4))))	add(4, mul(protectedDiv(sub(b, 3), d), protectedDiv(add(c, protectedDiv(3, d)), protectedDiv(3, 4))))	add(4, mul(protectedDiv(3, d), protectedDiv(add(c, a), protectedDiv(4, 4))))	add(4, mul(protectedDiv(3, d), protectedDiv(add(c, protectedDiv(3, mul(d, b))), protectedDiv(3, 4))))	add(4, mul(protectedDiv(3, d), protectedDiv(mul(protectedDiv(mul(sub(0.5, b), protectedDiv(0.5, b)), d), protectedDiv(add(c, a), a)), protectedDiv(3, d))))	add(protectedDiv(add(c, a), a), 4)	add(4, mul(protectedDiv(3, d), protectedDiv(mul(protectedDiv(mul(sub(0.5, b), protectedDiv(0.5, b)), d), 4), protectedDiv(3, a))))	add(protectedDiv(3, 0.5), mul(protectedDiv(mul(0.5, protectedDiv(protectedDiv(3, a), protectedDiv(0.5, c))), 4), protectedDiv(add(c, a), protectedDiv(3, 4))))	add(protectedDiv(3, 0.5), mul(protectedDiv(mul(0.5, protectedDiv(protectedDiv(3, a), protectedDiv(0.5, c))), 4), protectedDiv(add(c, a), protectedDiv(3, 4))))	add(protectedDiv(3, 0.5), mul(protectedDiv(mul(0.5, protectedDiv(4, protectedDiv(0.5, c))), 4), protectedDiv(add(c, a), protectedDiv(3, 4))))	add(4, mul(protectedDiv(3, d), protectedDiv(4, protectedDiv(3, a))))
add(protectedDiv(3, 0.5), mul(protectedDiv(mul(0.5, protectedDiv(protectedDiv(3, a), protectedDiv(0.5, c))), 4), protectedDiv(add(c, a), protectedDiv(3, 4))))	add(protectedDiv(3, 0.5), mul(protectedDiv(mul(0.5, protectedDiv(protectedDiv(3, a), protectedDiv(0.5, c))), 4), protectedDiv(add(c, a), protectedDiv(3, 4))))	add(4, mul(protectedDiv(3, d), c))	add(protectedDiv(3, 0.5), mul(protectedDiv(mul(0.5, protectedDiv(protectedDiv(3, a), protectedDiv(0.5, c))), 4), protectedDiv(add(protectedDiv(add(c, a), protectedDiv(4, 4)), a), protectedDiv(3, 4))))	add(4, mul(protectedDiv(3, 4), protectedDiv(add(c, a), protectedDiv(4, 4))))	add(protectedDiv(3, 0.5), mul(protectedDiv(mul(0.5, protectedDiv(protectedDiv(3, a), protectedDiv(0.5, c))), 4), protectedDiv(add(c, a), protectedDiv(3, d))))	add(protectedDiv(3, 0.5), mul(protectedDiv(mul(0.5, protectedDiv(protectedDiv(3, a), protectedDiv(0.5, c))), 4), protectedDiv(add(c, a), protectedDiv(3, 4))))	add(protectedDiv(3, 0.5), mul(protectedDiv(mul(0.5, protectedDiv(protectedDiv(3, a), protectedDiv(0.5, c))), 4), protectedDiv(add(c, a), protectedDiv(3, 4))))	add(4, mul(protectedDiv(3, d), protectedDiv(add(c, protectedDiv(3, d)), mul(protectedDiv(3, d), protectedDiv(mul(protectedDiv(a, d), protectedDiv(add(c, a), a)), protectedDiv(3, d))))))	add(4, protectedDiv(3, 4))	add(protectedDiv(4, 0.5), mul(protectedDiv(mul(0.5, protectedDiv(protectedDiv(3, a), protectedDiv(0.5, c))), 4), protectedDiv(add(c, a), protectedDiv(3, 4))))	add(4, mul(protectedDiv(3, d), protectedDiv(add(a, a), protectedDiv(4, 4))))	add(protectedDiv(3, 0.5), mul(protectedDiv(mul(0.5, protectedDiv(protectedDiv(3, a), protectedDiv(0.5, c))), 4), protectedDiv(add(c, a), protectedDiv(3, 4))))	add(protectedDiv(3, 0.5), mul(protectedDiv(mul(0.5, protectedDiv(protectedDiv(3, a), protectedDiv(0.5, c))), 4), protectedDiv(add(c, a), protectedDiv(3, 4))))	add(protectedDiv(3, 0.5), mul(3, protectedDiv(add(c, a), protectedDiv(3, 4))))	add(protectedDiv(protectedDiv(mul(0.5, protectedDiv(protectedDiv(3, b), protectedDiv(0.5, c))), 4), 0.5), mul(protectedDiv(mul(0.5, protectedDiv(protectedDiv(3, a), protectedDiv(0.5, c))), 4), protectedDiv(add(c, a), protectedDiv(3, 4))))	add(4, mul(protectedDiv(3, d), protectedDiv(add(c, protectedDiv(3, d)), protectedDiv(3, 4))))	add(4, mul(protectedDiv(3, d), protectedDiv(add(c, protectedDiv(3, d)), protectedDiv(3, 4))))	mul(a, c)	add(protectedDiv(3, d), mul(protectedDiv(mul(0.5, protectedDiv(protectedDiv(3, a), protectedDiv(0.5, c))), 4), protectedDiv(add(c, a), protectedDiv(3, 4))))
